class,posterior1,prior2,mean,std,n
1,0.8762875,0.6278,16.82704877109397,11.622074380618225,35.0515
2,0.0598,0.3473,20.198536789297652,7.3475306974872625,2.392
3,0.0035,0.00211,3.403928571428572,4.849389600051491,0.14
4,0.0604125,0.02279,13.695530726257001,12.017933993486148,2.4165
5,0.9401999999999999,0.6527,16.575864177834507,11.68307245815358,37.608
